id,label
TEST_00106,돌아온다
TEST_00107,아래쪽
TEST_00108,말씀하지
TEST_00109,한순간
TEST_00110,돈도
TEST_00111,오래
TEST_00112,빨라
TEST_00113,항공
TEST_00114,생각하나
TEST_00115,남부
TEST_00116,반만
TEST_00117,논문
TEST_00118,둘다
TEST_00119,적
TEST_00120,둘러싸여
TEST_00121,내려가자
TEST_00122,공식적
TEST_00123,사과
TEST_00124,허용하지
TEST_00125,서울
TEST_00126,아무런
TEST_00127,돈보다
TEST_00128,밑바닥
TEST_00129,약
TEST_00130,실은
TEST_00131,흐려지다
TEST_00132,다섯
TEST_00133,무릎
TEST_00134,처벌
TEST_00135,한국말
TEST_00136,거다
TEST_00137,나다
TEST_00138,학교
TEST_00139,일요일
TEST_00140,환자
TEST_00141,간다
TEST_00142,복잡한
TEST_00143,보험
TEST_00144,감
TEST_00145,분석
TEST_00146,담요
TEST_00147,관심
TEST_00148,배
TEST_00149,아니다
TEST_00150,불평
TEST_00151,달
TEST_00152,분리하다
TEST_00153,미국
TEST_00154,맞다
TEST_00155,월요일
TEST_00156,보통
TEST_00157,저쪽
TEST_00158,끝내자
TEST_00159,면접
TEST_00160,다해
TEST_00161,내일
TEST_00162,정장
TEST_00163,사실상
TEST_00164,다리
TEST_00165,편견
TEST_00166,학생
TEST_00167,리우다
TEST_00168,나라
TEST_00169,몇몇
TEST_00170,저쪽
TEST_00171,휴지통
TEST_00172,얼마나
TEST_00173,단순
TEST_00174,열차
TEST_00175,많이
TEST_00176,바퀴
TEST_00177,현젠히
TEST_00178,생긴다
TEST_00179,대니
TEST_00180,가고
TEST_00181,저
TEST_00182,개발한
TEST_00183,통화
TEST_00184,전체
TEST_00185,시계
TEST_00186,수돗물
TEST_00187,불만
TEST_00188,시스템
TEST_00189,깨달은
TEST_00190,아침마다
TEST_00191,가운데
TEST_00192,되돌아오다
TEST_00193,뜰라스트
TEST_00194,멀어뜨리다
TEST_00195,주변
TEST_00196,어제
TEST_00197,연인
TEST_00198,농산물
TEST_00199,명령
TEST_00200,승진
TEST_00201,래
TEST_00202,아이
TEST_00203,속옷
TEST_00204,요리
TEST_00205,치마
TEST_00206,불꽃
TEST_00207,일하다
TEST_00208,신문
TEST_00209,택도
TEST_00210,논문
TEST_00211,그분
TEST_00212,졸업
TEST_00213,감정적
TEST_00214,계시나
TEST_00215,난다
TEST_00216,발생한
TEST_00217,진통
TEST_00218,쇼핑
TEST_00219,사촌
TEST_00220,너무
TEST_00221,칼
TEST_00222,더욱이
TEST_00223,출발하자
TEST_00224,죄다
TEST_00225,않다
TEST_00226,말이다
TEST_00227,아무것도
TEST_00228,적
TEST_00229,우체국
TEST_00230,말기
TEST_00231,농장
TEST_00232,실수
TEST_00233,서랍
TEST_00234,바란다
TEST_00235,상상력이
TEST_00236,표시
TEST_00237,팬티
TEST_00238,선물이다
TEST_00239,말도
TEST_00240,어제
TEST_00241,바다
TEST_00242,진출
TEST_00243,분다
TEST_00244,잠깐
TEST_00245,정지
TEST_00246,땅에
TEST_00247,솜씨
TEST_00248,스트레스
TEST_00249,거리
TEST_00250,명만
TEST_00251,운전
TEST_00252,무지개
TEST_00253,앞만
TEST_00254,모니터
TEST_00255,넷
TEST_00256,대답
TEST_00257,바다
TEST_00258,보다
TEST_00259,대단하다
TEST_00260,빕니다
TEST_00261,거다
TEST_00262,변화
TEST_00263,체력
TEST_00264,계시나
TEST_00265,기지
TEST_00266,명령
TEST_00267,초기
TEST_00268,한국어
TEST_00269,형필하다
TEST_00270,답장
TEST_00271,지도자가
TEST_00272,최소한
TEST_00273,토도하다
TEST_00274,아들
TEST_00275,유능한
TEST_00276,아마
TEST_00277,전기밥솥
TEST_00278,수지
TEST_00279,프리다
TEST_00280,괜찮다
TEST_00281,걱정된다
TEST_00282,빨라
TEST_00283,마마
TEST_00284,동의한다
TEST_00285,한평생
TEST_00286,스튜디오
TEST_00287,원드컵
TEST_00288,카페
TEST_00289,속색이다
TEST_00290,중요하다
TEST_00291,골짜기
TEST_00292,피셔
TEST_00293,바다
TEST_00294,지하
TEST_00295,홍콩
TEST_00296,마마
TEST_00297,어디
TEST_00298,이분
TEST_00299,가자
TEST_00300,일본에
TEST_00301,수요일
TEST_00302,에어컨
TEST_00303,첫째
TEST_00304,하얀색
TEST_00305,수십
TEST_00306,내에
TEST_00307,밥
TEST_00308,김치
TEST_00309,연구로
TEST_00310,네
TEST_00311,불빛
TEST_00312,소개할
TEST_00313,어디다
TEST_00314,남동생
TEST_00315,사무실
TEST_00316,묻자
TEST_00317,비누
TEST_00318,수리할
TEST_00319,소문
TEST_00320,저녁
TEST_00321,잃어버린
TEST_00322,일하다
TEST_00323,아무
TEST_00324,머리카락
TEST_00325,잔
TEST_00326,극적
TEST_00327,재산
TEST_00328,이것
TEST_00329,증상
TEST_00330,모래
TEST_00331,에이제이
TEST_00332,활기
TEST_00333,괜찮다
TEST_00334,쳐다
TEST_00335,한글
TEST_00336,놓아두다
TEST_00337,빠져나가자
TEST_00338,현금
TEST_00339,개선하다
TEST_00340,일하다
TEST_00341,소중한
TEST_00342,노래하고
TEST_00343,타라
TEST_00344,학생
TEST_00345,쳐다보지
TEST_00346,밖
TEST_00347,가을
TEST_00348,역사
TEST_00349,나라
TEST_00350,학교
TEST_00351,사실상
TEST_00352,아들
TEST_00353,소문
TEST_00354,막은
TEST_00355,상상
TEST_00356,맞다
TEST_00357,꾸준히
TEST_00358,다섯
TEST_00359,안심하고
TEST_00360,실수
TEST_00361,사슴
TEST_00362,한쪽
TEST_00363,그러기
TEST_00364,신경
TEST_00365,둘러보고
TEST_00366,짧아
TEST_00367,시장
TEST_00368,추측
TEST_00369,불확실한
TEST_00370,신속하게
TEST_00371,활동하고
TEST_00372,떡
TEST_00373,사생활
TEST_00374,연애
TEST_00375,음식
TEST_00376,매매하다
TEST_00377,가자
TEST_00378,파란색
TEST_00379,사실
TEST_00380,그럼
TEST_00381,양복
TEST_00382,정말
TEST_00383,기억
TEST_00384,개선되다
TEST_00385,소파
TEST_00386,예약하고
TEST_00387,부모
TEST_00388,광고
TEST_00389,번개
TEST_00390,행복하다
TEST_00391,부끄럽다
TEST_00392,거다
TEST_00393,도시락
TEST_00394,조직
TEST_00395,솔직하게
TEST_00396,리우다
TEST_00397,관심
TEST_00398,요리사
TEST_00399,수술
TEST_00400,고생한
TEST_00401,잠시
TEST_00402,있다
TEST_00403,미안하다
TEST_00404,참여할
TEST_00405,머리카락
TEST_00406,되다
TEST_00407,학생들
TEST_00408,무렵
TEST_00409,삼을
TEST_00410,향금기
TEST_00411,이게
TEST_00412,평가되다
TEST_00413,영양
TEST_00414,끊꾸다
TEST_00415,무엇
TEST_00416,거울
TEST_00417,기념하다
TEST_00418,이룩지다
TEST_00419,백화점
TEST_00420,정신과
TEST_00421,허락하지
TEST_00422,춤추자
TEST_00423,제시
TEST_00424,약속
TEST_00425,아련하다
TEST_00426,청소년
TEST_00427,경치
TEST_00428,번역
TEST_00429,아무
TEST_00430,첫째
TEST_00431,한글
TEST_00432,만약
TEST_00433,가깝다
TEST_00434,미안하다
TEST_00435,군대
TEST_00436,온다
TEST_00437,삼을
TEST_00438,출판
TEST_00439,도시락
TEST_00440,부서진
TEST_00441,병원
TEST_00442,마시자
TEST_00443,씨바
TEST_00444,빠대하다
TEST_00445,식사하러
TEST_00446,연장
TEST_00447,향한다
TEST_00448,흑흑
TEST_00449,강하다
TEST_00450,버릇
TEST_00451,밝혀낼
TEST_00452,울꼭이이
TEST_00453,김포공항
TEST_00454,보호하라
TEST_00455,접근
TEST_00456,미끄러지다
TEST_00457,하늘
TEST_00458,소파
TEST_00459,남긴
TEST_00460,때다
TEST_00461,상상
TEST_00462,지니
TEST_00463,앞만
TEST_00464,셋
TEST_00465,감상하다
TEST_00466,쉽다
TEST_00467,못한다
TEST_00468,우리
TEST_00469,겨울
TEST_00470,본다
TEST_00471,생활
TEST_00472,뿌리가
TEST_00473,목욕
TEST_00474,평생
TEST_00475,데이트
TEST_00476,잡지
TEST_00477,식기
TEST_00478,새다
TEST_00479,현대적
TEST_00480,오른쪽
TEST_00481,과일
TEST_00482,거기다
TEST_00483,멍청하다
TEST_00484,각각
TEST_00485,스키
TEST_00486,괴로워하다
TEST_00487,둘째
TEST_00488,분야
TEST_00489,어른
TEST_00490,내려가자
TEST_00491,아프다
TEST_00492,듯쉽다
TEST_00493,거기다
TEST_00494,강력히
TEST_00495,시인
TEST_00496,해롤드
TEST_00497,재활용품
TEST_00498,숙제
TEST_00499,위층
TEST_00500,갔다
TEST_00501,마다
TEST_00502,때다
TEST_00503,재미있게
TEST_00504,가치
TEST_00505,국가적
TEST_00506,계절
TEST_00507,파란색
TEST_00508,안녕하쇼
TEST_00509,자리
TEST_00510,하나
TEST_00511,만족스럽다
TEST_00512,정문
TEST_00513,극적
TEST_00514,테이블
TEST_00515,나무
TEST_00516,아무렇지
TEST_00517,바랄
TEST_00518,형사
TEST_00519,진주
TEST_00520,특정한
TEST_00521,되다
TEST_00522,실컷
TEST_00523,배우가
TEST_00524,빨리
TEST_00525,가방
TEST_00526,아나
TEST_00527,이번
TEST_00528,초상화
TEST_00529,행성
TEST_00530,프리다
TEST_00531,물론
TEST_00532,살림
TEST_00533,아울러
TEST_00534,직장이
TEST_00535,의논할
TEST_00536,또한
TEST_00537,다만
TEST_00538,승용차
TEST_00539,둘다
TEST_00540,깎아
TEST_00541,기초하다
TEST_00542,호
TEST_00543,소지품
TEST_00544,귀찮아
TEST_00545,설탕
TEST_00546,하나만
TEST_00547,장관
TEST_00548,부상
TEST_00549,귀중한
TEST_00550,비비로림
TEST_00551,오사장
TEST_00552,소유
TEST_00553,자란
TEST_00554,옛날이야기
TEST_00555,번호
TEST_00556,연습
TEST_00557,깊숙이
TEST_00558,택시
TEST_00559,거다
TEST_00560,지출
TEST_00561,작년
TEST_00562,동물
TEST_00563,그러나
TEST_00564,노래하고
TEST_00565,실패
TEST_00566,이야기하자
TEST_00567,매기
TEST_00568,정신
TEST_00569,이해관계
TEST_00570,봄
TEST_00571,어머님
TEST_00572,산부인과
TEST_00573,문학적
TEST_00574,선생
TEST_00575,완성
TEST_00576,한밤중에
TEST_00577,뛰어다니고
TEST_00578,지원
TEST_00579,내려올
TEST_00580,전환
TEST_00581,주
TEST_00582,운동장
TEST_00583,월요일
TEST_00584,복도
TEST_00585,심하다
TEST_00586,시멘트
TEST_00587,싶다
TEST_00588,보고
TEST_00589,말이다
TEST_00590,반면
TEST_00591,제공할
TEST_00592,어머
TEST_00593,연필
TEST_00594,비디오
TEST_00595,남쪽
TEST_00596,산책
TEST_00597,평향하다
TEST_00598,제외되다
TEST_00599,순간
TEST_00600,부엌
TEST_00601,국가
TEST_00602,아들
TEST_00603,걱정
TEST_00604,만족
TEST_00605,엄험나다
TEST_00606,않다
TEST_00607,반복
TEST_00608,부른다
TEST_00609,법률
TEST_00610,형편
TEST_00611,가리키고
TEST_00612,죄다
TEST_00613,물이
TEST_00614,부인
TEST_00615,단지
TEST_00616,하루
TEST_00617,신고
TEST_00618,합니다
TEST_00619,모퉁이
TEST_00620,운전
TEST_00621,이해한다
TEST_00622,오
TEST_00623,크다
TEST_00624,반응
TEST_00625,이미
TEST_00626,다음
TEST_00627,종일
TEST_00628,주말
TEST_00629,가득한
TEST_00630,배우가
TEST_00631,상상
TEST_00632,아침
TEST_00633,수십
TEST_00634,한정된
TEST_00635,기울이고
TEST_00636,인제
TEST_00637,건강
TEST_00638,세월
TEST_00639,요원
TEST_00640,충고
TEST_00641,부러진
TEST_00642,장소
TEST_00643,사흘
TEST_00644,내년
TEST_00645,왜요
TEST_00646,데려가라
TEST_00647,부혼하다
TEST_00648,엉터리
TEST_00649,라이터
TEST_00650,굉장하다
TEST_00651,싫다
TEST_00652,리우다
TEST_00653,하다
TEST_00654,그래서
TEST_00655,오로지
TEST_00656,백화점
TEST_00657,이것저것
TEST_00658,아직
TEST_00659,마리
TEST_00660,동안
TEST_00661,잡아먹어
TEST_00662,나면
TEST_00663,본사
TEST_00664,병들게
TEST_00665,중이다
TEST_00666,행위
TEST_00667,의자
TEST_00668,각각
TEST_00669,이동
TEST_00670,쳐다
TEST_00671,끝내
TEST_00672,안된다
TEST_00673,평생
TEST_00674,총통
TEST_00675,로리
TEST_00676,불완전한
TEST_00677,되찾아
TEST_00678,사탕
TEST_00679,입학하다
TEST_00680,노인
TEST_00681,조용한
TEST_00682,우유
TEST_00683,곧
TEST_00684,나나
TEST_00685,대답
TEST_00686,캐나다
TEST_00687,금지다
TEST_00688,이웃집
TEST_00689,전구
TEST_00690,어터하다
TEST_00691,믿음
TEST_00692,워낙
TEST_00693,어디다
TEST_00694,흥륭하다
TEST_00695,지루하다
TEST_00696,불잡히다
TEST_00697,언니
TEST_00698,예산
TEST_00699,무언가
TEST_00700,내지
TEST_00701,재빨리
TEST_00702,흔들리지
TEST_00703,동안
TEST_00704,잔
TEST_00705,운명
TEST_00706,이쪽
TEST_00707,처럼
TEST_00708,기후
TEST_00709,지우고
TEST_00710,공장
TEST_00711,가치
TEST_00712,흘러내리다
TEST_00713,센터
TEST_00714,정장
TEST_00715,인턴
TEST_00716,보통
TEST_00717,숙녀
TEST_00718,일어나라
TEST_00719,언제나
TEST_00720,있다
TEST_00721,따라
TEST_00722,여섯
TEST_00723,날아오다
TEST_00724,정리된
TEST_00725,붙비다
TEST_00726,해냈다
TEST_00727,점점
TEST_00728,레스토랑
TEST_00729,임시
TEST_00730,크다
TEST_00731,스
TEST_00732,점점
TEST_00733,세월
TEST_00734,승용차
TEST_00735,꼼짝
TEST_00736,각국
TEST_00737,비행기
TEST_00738,저것
TEST_00739,미혼
TEST_00740,작전
TEST_00741,시작된다
TEST_00742,수술
TEST_00743,허리
TEST_00744,경제적
TEST_00745,알아
TEST_00746,네
TEST_00747,경치
TEST_00748,맞다
TEST_00749,백화점
TEST_00750,어제
TEST_00751,있다
TEST_00752,볼일
TEST_00753,손잡고
TEST_00754,점심
TEST_00755,크다
TEST_00756,안다
TEST_00757,씩딱하다
TEST_00758,의지할
TEST_00759,공항
TEST_00760,성섭하다
TEST_00761,따뜻한
TEST_00762,쇼핑
TEST_00763,경찰서
TEST_00764,창에
TEST_00765,안된다
TEST_00766,든다
TEST_00767,비로밤
TEST_00768,음식점
TEST_00769,환자가
TEST_00770,대한
TEST_00771,넷째
TEST_00772,매니
TEST_00773,영화
TEST_00774,라이벌
TEST_00775,뜻이다
TEST_00776,명령
TEST_00777,법이다
TEST_00778,지난주
TEST_00779,카페
TEST_00780,운동
TEST_00781,이미
TEST_00782,영화배우
TEST_00783,긴급
TEST_00784,피자
TEST_00785,적용하다
TEST_00786,있다
TEST_00787,많다
TEST_00788,기다리다
TEST_00789,내면
TEST_00790,반면
TEST_00791,수영장
TEST_00792,장하다
TEST_00793,줄리아
TEST_00794,물고기
TEST_00795,들리나
TEST_00796,상처
TEST_00797,이놈
TEST_00798,대화
TEST_00799,환자가
TEST_00800,보도
TEST_00801,운다
TEST_00802,예
TEST_00803,도구
TEST_00804,날짜
TEST_00805,미리
TEST_00806,중국
TEST_00807,별일
TEST_00808,소금
TEST_00809,심각한
TEST_00810,반갑다
TEST_00811,결과적
TEST_00812,타다
TEST_00813,약점
TEST_00814,있다
TEST_00815,배
TEST_00816,받아들일
TEST_00817,바이러스
TEST_00818,아름답다
TEST_00819,안다
TEST_00820,약속
TEST_00821,이번
TEST_00822,모양
TEST_00823,여행할
TEST_00824,레몬
TEST_00825,이미
TEST_00826,세상에
TEST_00827,마마
TEST_00828,힘들다
TEST_00829,개선하다
TEST_00830,교과서
TEST_00831,있다
TEST_00832,매주
TEST_00833,급격히
TEST_00834,사위
TEST_00835,나라
TEST_00836,노트
TEST_00837,사이
TEST_00838,미혼
TEST_00839,설마
TEST_00840,맞다
TEST_00841,여보세요
TEST_00842,가정
TEST_00843,산책
TEST_00844,흘러나오다
TEST_00845,똑없다
TEST_00846,방지
TEST_00847,만나자
TEST_00848,약속
TEST_00849,아일
TEST_00850,한이
TEST_00851,생활수준
TEST_00852,형이
TEST_00853,매일
TEST_00854,절대
TEST_00855,신화
TEST_00856,그쪽
TEST_00857,쓰레기
TEST_00858,운동
TEST_00859,지난해
TEST_00860,한마디
TEST_00861,교회
TEST_00862,바다
TEST_00863,경력
TEST_00864,박사
TEST_00865,사용된
TEST_00866,중요하다
TEST_00867,할걸
TEST_00868,치즈
TEST_00869,이번
TEST_00870,건물
TEST_00871,내일
TEST_00872,통신
TEST_00873,저보다
TEST_00874,알린다
TEST_00875,임산부
TEST_00876,묻지도
TEST_00877,불과하다
TEST_00878,추가
TEST_00879,그러다
TEST_00880,명령
TEST_00881,한번
TEST_00882,제품
TEST_00883,운동
TEST_00884,저보다
TEST_00885,안다
TEST_00886,규칙적
TEST_00887,마흔
TEST_00888,셋
TEST_00889,자식
TEST_00890,신고
TEST_00891,스미스
TEST_00892,일하다
TEST_00893,요리
TEST_00894,운동
TEST_00895,팔아
TEST_00896,말이다
TEST_00897,때문
TEST_00898,세월
TEST_00899,나보다
TEST_00900,예해놓다
TEST_00901,동대문
TEST_00902,망설이지
TEST_00903,전진
TEST_00904,십일월
TEST_00905,그릇
TEST_00906,되돌아보다
TEST_00907,쳐다
TEST_00908,디씨
TEST_00909,조기
TEST_00910,어린이
TEST_00911,넷째
TEST_00912,오늘
TEST_00913,경적
TEST_00914,부엌
TEST_00915,셋째
TEST_00916,둘러보고
TEST_00917,태어났다
TEST_00918,마당하다
TEST_00919,생활수준
TEST_00920,필립
TEST_00921,면락하다
TEST_00922,제작
TEST_00923,입원한
TEST_00924,우승
TEST_00925,어려워지다
TEST_00926,흔들리지
TEST_00927,출판
TEST_00928,사탕
TEST_00929,계절
TEST_00930,차가
TEST_00931,떡볶이
TEST_00932,아까
TEST_00933,휴일
TEST_00934,시간
TEST_00935,마침
TEST_00936,교환
TEST_00937,장하다
TEST_00938,소화할
TEST_00939,그런다
TEST_00940,안다
TEST_00941,잘한다
TEST_00942,호텔
TEST_00943,할인
TEST_00944,셋째
TEST_00945,교대
TEST_00946,끊임없이
TEST_00947,쉽다
TEST_00948,말이다
TEST_00949,서점
TEST_00950,환각
TEST_00951,재로
TEST_00952,너도
TEST_00953,소재하다
TEST_00954,끝
TEST_00955,마흔
TEST_00956,경복금
TEST_00957,아까
TEST_00958,참고
TEST_00959,예전
TEST_00960,공기도
TEST_00961,국왕
TEST_00962,이중
TEST_00963,엽서
TEST_00964,과일
TEST_00965,하면
TEST_00966,산다
TEST_00967,엉덩이
TEST_00968,폭력
TEST_00969,복숭아
TEST_00970,의역
TEST_00971,어색한
TEST_00972,나라
TEST_00973,부산
TEST_00974,어둠
TEST_00975,양
TEST_00976,꽃이
TEST_00977,빵
TEST_00978,장하다
TEST_00979,적도
TEST_00980,혁명
TEST_00981,스스로
TEST_00982,할머니
TEST_00983,교장
TEST_00984,돈도
TEST_00985,셋째
TEST_00986,지도자
TEST_00987,표리하다
TEST_00988,뛰어나오다
TEST_00989,많이
TEST_00990,결과
TEST_00991,말씀
TEST_00992,대출
TEST_00993,신청서
TEST_00994,전선
TEST_00995,이중
TEST_00996,자연현상
TEST_00997,시멘트
TEST_00998,주말
TEST_00999,뒷골목
TEST_01000,젊은
TEST_01001,다음
TEST_01002,구름
TEST_01003,질문
TEST_01004,쳐다
TEST_01005,해냈다
TEST_01006,점심때
TEST_01007,십일월
TEST_01008,그릇
TEST_01009,그렇지
TEST_01010,세월
TEST_01011,액세서리
TEST_01012,승용차
TEST_01013,와
TEST_01014,닫아
TEST_01015,운다
TEST_01016,화분
TEST_01017,밀접하다
TEST_01018,기쁨
TEST_01019,아줌마
TEST_01020,불
TEST_01021,갈지도
TEST_01022,그거
TEST_01023,안된다
TEST_01024,멀리아
TEST_01025,시각
TEST_01026,정거장
TEST_01027,동작
TEST_01028,깨뜨리다
TEST_01029,정말
TEST_01030,출판
TEST_01031,의논할
TEST_01032,싫다
TEST_01033,길다
TEST_01034,선생
TEST_01035,보다
TEST_01036,불만
TEST_01037,빌
TEST_01038,깎아
TEST_01039,그때
TEST_01040,한물
TEST_01041,담당자
TEST_01042,동전
TEST_01043,대단하다
TEST_01044,의자
TEST_01045,크다
TEST_01046,맛
TEST_01047,일생
TEST_01048,말이다
TEST_01049,등등
TEST_01050,공격
TEST_01051,이혼한
TEST_01052,맛있다
TEST_01053,선물이다
TEST_01054,설명
TEST_01055,봉지
TEST_01056,이
TEST_01057,색
TEST_01058,이상하다
TEST_01059,남대문시장
TEST_01060,어린
TEST_01061,있다
TEST_01062,잡아먹어
TEST_01063,숨기고
TEST_01064,빵
TEST_01065,택딱하다
TEST_01066,수도는
TEST_01067,이곳
TEST_01068,특별한
TEST_01069,하다
TEST_01070,말
TEST_01071,반갑다
TEST_01072,한글
TEST_01073,잡수시다
TEST_01074,그럼
TEST_01075,과속
TEST_01076,어쨌든
TEST_01077,감독
TEST_01078,시험
TEST_01079,설명되다
TEST_01080,비디오
TEST_01081,불법
TEST_01082,굉장하다
TEST_01083,박사
TEST_01084,바다
TEST_01085,그날
TEST_01086,전국
TEST_01087,각각
TEST_01088,적도
TEST_01089,적극
TEST_01090,김치
TEST_01091,방학
TEST_01092,사생활
TEST_01093,약간
TEST_01094,수고
TEST_01095,장난
TEST_01096,근거
TEST_01097,신고
TEST_01098,않다
TEST_01099,장비
TEST_01100,크다
TEST_01101,남자
TEST_01102,닫아
TEST_01103,부수적
TEST_01104,한습히다
TEST_01105,소개할
TEST_01106,필립
TEST_01107,가수
TEST_01108,마지막
TEST_01109,목욕
TEST_01110,사라
TEST_01111,전혀
TEST_01112,싸우다
TEST_01113,올해
TEST_01114,물이
TEST_01115,근처
TEST_01116,천천히
TEST_01117,오른쪽
TEST_01118,재주도
TEST_01119,가수
TEST_01120,않다
TEST_01121,부부
TEST_01122,극복할
TEST_01123,화재
TEST_01124,대학
TEST_01125,대학생
TEST_01126,대답
TEST_01127,장인
TEST_01128,컵
TEST_01129,높이
TEST_01130,요금
TEST_01131,없다
TEST_01132,칠
TEST_01133,평생
TEST_01134,서양
TEST_01135,강하다
TEST_01136,찾아보자
TEST_01137,몹시
TEST_01138,올림이이
TEST_01139,어대하다
TEST_01140,의식
TEST_01141,전면
TEST_01142,기회
TEST_01143,달려들다
TEST_01144,사이
TEST_01145,콜라
TEST_01146,있다
TEST_01147,같다
TEST_01148,이때
TEST_01149,공장
TEST_01150,하나하나
TEST_01151,건강한
TEST_01152,갑시다
TEST_01153,새끼가
TEST_01154,나름
TEST_01155,파파
TEST_01156,함부로
TEST_01157,안전하다
TEST_01158,침대
TEST_01159,부끄럽다
TEST_01160,똑같다
TEST_01161,암컷
TEST_01162,묻자
TEST_01163,오십
TEST_01164,아빠
TEST_01165,달아나
TEST_01166,됐다
TEST_01167,일본
TEST_01168,계시나
TEST_01169,것도
TEST_01170,아나운서
TEST_01171,어색한
TEST_01172,방송
TEST_01173,치마
TEST_01174,성하
TEST_01175,아는
TEST_01176,청소기
TEST_01177,살아간다
TEST_01178,카운터
TEST_01179,볼일
TEST_01180,갈아타다
TEST_01181,마주치지
TEST_01182,구멍
TEST_01183,후반
TEST_01184,맥주
TEST_01185,우주
TEST_01186,의사
TEST_01187,사장
TEST_01188,여는
TEST_01189,마크
TEST_01190,대문
TEST_01191,명령
TEST_01192,점검
TEST_01193,참피하다
TEST_01194,살짝
TEST_01195,멀리
TEST_01196,당연히
TEST_01197,이러지마
TEST_01198,나나
TEST_01199,논문
TEST_01200,물어보자
TEST_01201,라면
TEST_01202,창고
TEST_01203,걸어갈
TEST_01204,주스
TEST_01205,성실한
TEST_01206,너무
TEST_01207,시야
TEST_01208,하자면
TEST_01209,눈알
TEST_01210,어린이를
TEST_01211,정장
TEST_01212,착하다
TEST_01213,블라우스
TEST_01214,칫솔
TEST_01215,부엌
TEST_01216,운동장
TEST_01217,시외버스
TEST_01218,그러기
TEST_01219,죄인
TEST_01220,이미
TEST_01221,넷째
TEST_01222,뛰어오다
TEST_01223,이제
TEST_01224,매매
TEST_01225,문화
TEST_01226,부모님
TEST_01227,수시로
TEST_01228,비
TEST_01229,해줄
TEST_01230,때다
TEST_01231,충분히
TEST_01232,곧장
TEST_01233,미디어
TEST_01234,겨우
TEST_01235,풀겨나다
TEST_01236,옥수수
TEST_01237,국립
TEST_01238,일생
TEST_01239,교회
TEST_01240,처럼
TEST_01241,운다
TEST_01242,차례
TEST_01243,핵심
TEST_01244,물론
TEST_01245,서점
TEST_01246,급
TEST_01247,언제
TEST_01248,대학생
TEST_01249,유서하다
TEST_01250,온도
TEST_01251,힘검다
TEST_01252,오늘
TEST_01253,목걸이
TEST_01254,드는
TEST_01255,시간
TEST_01256,아이
TEST_01257,혼자
TEST_01258,소용
TEST_01259,소매
TEST_01260,존재할
TEST_01261,나가자
TEST_01262,모자
TEST_01263,병원도
TEST_01264,깨달은
TEST_01265,나라
TEST_01266,출발하자
TEST_01267,따로
TEST_01268,조카
TEST_01269,달라
TEST_01270,연구
TEST_01271,전선
TEST_01272,대단하다
TEST_01273,요즘
TEST_01274,시
TEST_01275,둘째
TEST_01276,전개하다
TEST_01277,높다
TEST_01278,수십
TEST_01279,말이다
TEST_01280,반만
TEST_01281,녀석
TEST_01282,아무
TEST_01283,물고
TEST_01284,노란색
TEST_01285,재밌다
TEST_01286,대지
TEST_01287,복습하다
TEST_01288,이야기
TEST_01289,망설이지
TEST_01290,일을
